,county,state,lat,lon
2797,Escambia,Florida,30.668932284584116,-87.3627878913973
2799,Lake,Florida,28.76154967395049,-81.7112564949174
2826,Forsyth,Georgia,34.22554979016303,-84.12502456762358
2830,Hall,Georgia,34.3169031838319,-83.81967134390078
2835,Paulding,Georgia,33.920545467140414,-84.86728364044066
2837,Troup,Georgia,33.033530589891186,-85.02834896141438
2908,Frederick,Maryland,39.47223828047753,-77.39800904764644
2913,Talbot,Maryland,38.77144446983922,-76.09474808625941
2971,Carroll,New Hampshire,43.87382150953746,-71.20309603875978
2980,Hunterdon,New Jersey,40.56729713649931,-74.91226491597396
2987,Somerset,New Jersey,40.56349785286845,-74.61635156855289
2994,Allegany,New York,42.25741149004413,-78.02758907825604
3005,Onondaga,New York,43.005821281706886,-76.19463911700933
3006,Ontario,New York,42.85285711922692,-77.29982237053609
3021,Durham,North Carolina,36.0360386477096,-78.87662204425209
3081,Fairfield,South Carolina,34.39510439587368,-81.12123541512887
3146,Stafford,Virginia,38.42070043031285,-77.45804712508706
3148,York,Virginia,37.24312103411721,-76.56353018584879
3263,Sussex,Delaware,38.66056015226545,-75.39003971207418
3267,Brevard,Florida,28.29372882440304,-80.73227566748403
3287,Polk,Florida,27.94888730013521,-81.69758385086715
3315,Richmond,Georgia,33.359602299781294,-82.07351213341146
3317,Whitfield,Georgia,34.80561675648046,-84.9672123097673
3393,Kennebec,Maine,44.40911967167797,-69.76733778920907
3395,Oxford,Maine,44.49988076272669,-70.75660641022452
3396,York,Maine,43.47843470319466,-70.71442074312785
3484,Gloucester,New Jersey,39.71726268758347,-75.14141608176472
3495,Warren,New Jersey,40.857134766048354,-74.99727724471094
3504,Clinton,New York,44.74618898998894,-73.6781654515424
3518,Rensselaer,New York,42.711087261850736,-73.50971957316223
3523,Sullivan,New York,41.7164333742138,-74.76811954155431
3528,Wyoming,New York,42.70237634592367,-78.22445805750914
3536,Iredell,North Carolina,35.806709460534385,-80.87349783107017
3540,Sampson,North Carolina,34.99155711142878,-78.37139067229019
3587,Beaver,Pennsylvania,40.6822638917926,-80.34929913921485
3603,Calhoun,South Carolina,33.67488821219264,-80.78030023126752
3611,Richland,South Carolina,34.02182663675267,-80.90305658567492
3613,York,South Carolina,34.97475084873054,-81.18441475063383
3666,Charlottesville city,Virginia,38.03736706215328,-78.48557040952461
3669,Goochland,Virginia,37.72207263817959,-77.91652752476735
3672,Henrico,Virginia,37.53800277233661,-77.4058263898611
3680,Williamsburg city,Virginia,37.26911218077431,-76.70753353937833
3809,Middlesex,Connecticut,41.46319466054719,-72.5351452843774
3811,Kent,Delaware,39.086173437537234,-75.56842277388509
3828,Leon,Florida,30.458048501389825,-84.27789594373296
3843,Sumter,Florida,28.704752104320523,-82.0809695594942
3845,Walton,Florida,30.64358623034344,-86.1696959352209
3852,Columbia,Georgia,33.54412686895829,-82.26405321361536
3864,Houston,Georgia,32.4590132277264,-83.66623171138417
3969,Penobscot,Maine,45.40064126773549,-68.64946054168279
3986,Franklin,Massachusetts,42.5830992907166,-72.59183117053759
4061,Belknap,New Hampshire,43.51791713234523,-71.42266129363769
